"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.1.2",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.0)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"DT","DT","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.28",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"dtplyr","dtplyr","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"dygraphs","dygraphs","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.1.1.6",NA,"R (>= 3.0)","magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,"testthat","rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.7-13",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"easypackages","easypackages","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1.0",NA,"R (>= 3.0.0)","assertthat, devtools, utils",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"easystats","easystats","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.6.0",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), correlation (>= 0.8.3), datawizard (>=
0.6.4), effectsize (>= 0.8.2), insight (>= 0.18.8), modelbased
(>= 0.8.5), parameters (>= 0.20.0), performance (>= 0.10.1),
report (>= 0.5.1), see (>= 0.7.4), tools, utils",NA,"DT, flexdashboard (>= 0.6.0), jsonlite, knitr, rmarkdown,
rvest, testthat (>= 3.1.0), withr, xml2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"effectsize","effectsize","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.8.3",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.18.8), parameters (>=
0.20.2), performance (>= 0.10.2), datawizard (>= 0.6.5), stats,
utils",NA,"correlation (>= 0.8.3), see (>= 0.7.4), afex, BayesFactor,
boot, brms, car, emmeans, gt, knitr, lavaan, lme4, lmerTest,
MASS, mgcv, parsnip, rmarkdown, rms, rstanarm, rstantools,
testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"elliptic","elliptic","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.4-0",NA,"R (>= 2.5.0)","MASS",NA,"emulator, calibrator (>= 1.2-8)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"emmeans","emmeans","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.8.6",NA,"R (>= 4.1.0)","estimability (>= 1.4.1), graphics, methods, numDeriv, stats,
utils, mvtnorm",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
ggplot2, lattice, logspline, mediation, mgcv, multcomp,
multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest (>=
0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm, knitr,
rmarkdown, sandwich, scales, splines, testthat, xtable (>=
1.8-2)","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"entropy","entropy","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.3.1",NA,"R (>= 3.0.2)",NA,NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"epiDisplay","epiDisplay","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","3.5.0.2",NA,"R (>= 2.6.2), foreign, survival, MASS, nnet",NA,NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.4.1",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.21",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"exactRankTests","exactRankTests","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.8-35",NA,"R (>= 2.4.0), stats, utils",NA,NA,"survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"extrafont","extrafont","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.19",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"extrafontdb","extrafontdb","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.3.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.0.4",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","2.1.1",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.1.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"flextable","flextable","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.9.1",NA,NA,"stats, utils, grDevices, graphics, grid, rmarkdown, knitr,
htmltools, rlang, ragg, officer (>= 0.6.2), gdtools (>= 0.3.3),
xml2, data.table (>= 1.13.0), uuid (>= 0.1-4)",NA,"testthat (>= 2.1.0), magick, equatags, commonmark, ggplot2,
scales, doconv (>= 0.3.0), xtable, tables, broom, broom.mixed,
mgcv, cluster, lme4, nlme, bookdown, pdftools, officedown,
pkgdown (>= 2.0.0), webshot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"fontawesome","fontawesome","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.5.1",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"fontBitstreamVera","fontBitstreamVera","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","4.3.0"
"fontLiberation","fontLiberation","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","4.3.0"
"fontquiver","fontquiver","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.0"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.8-84","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"fs","fs","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"funModeling","funModeling","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.9.4",NA,"R (>= 3.4.0), Hmisc (>= 3.17.1)","ROCR, ggplot2, gridExtra, pander, reshape2, scales, dplyr,
lazyeval, utils, RColorBrewer, moments, entropy, cli, stringr",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"future","future","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.32.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.34.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.0"
"future.apply","future.apply","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.11.0",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"gargle","gargle","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.4.0",NA,"R (>= 3.5)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gdata","gdata","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","2.19.0",NA,"R (>= 2.3.0)","gtools, methods, stats, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.3.3",NA,"R (>= 4.0.0)","Rcpp (>= 0.12.12), systemfonts (>= 0.1.1), htmltools, gfonts,
tools, curl, fontquiver (>= 0.2.0)","Rcpp","testthat, methods",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"geepack","geepack","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.3.9",NA,"R (>= 3.5.0), methods","MASS, broom, magrittr",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.0"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"geojson","geojson","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.3.4",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"geojsonio","geojsonio","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.11.1",NA,"R (>= 3.5)","crul, geojson (>= 0.2.0), geojsonsf, jqr, jsonlite (>=
0.9.21), lifecycle, magrittr, methods, readr (>= 0.2.2), sf (>=
0.6), sp, V8",NA,"covr, DBI, gistr, leaflet, maps, RPostgres, testthat (>=
3.0.0), withr","RColorBrewer","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"geojsonsf","geojsonsf","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","2.0.3",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"geometries","geometries","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.2.2",NA,NA,"Rcpp (>= 1.0.10)","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"gert","gert","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.9.2",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"gfonts","gfonts","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.2.0",NA,"R (>= 2.10)","utils, htmltools, shiny, crul, jsonlite, glue, crayon",NA,"knitr, rmarkdown, testthat (>= 2.1.0), vcr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"GGally","GGally","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.3.0"
"ggalt","ggalt","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.4.0",NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,"AGPL + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"ggbeeswarm","ggbeeswarm","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.7.2",NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,"gridExtra",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"ggeffects","ggeffects","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.2.2",NA,"R (>= 3.6)","graphics, insight (>= 0.19.0), stats",NA,"AER, aod, bayestestR, betareg, brms, clubSandwich,
datawizard, effects (>= 4.1-2), emmeans (>= 1.4.1), gam,
gamlss, gamm4, gee, geepack, ggplot2, GLMMadaptive, glmmTMB (>=
1.0.0), gridExtra, haven, httr, jsonlite, knitr, lme4, logistf,
magrittr, margins, marginaleffects (>= 0.10.0), MASS, Matrix,
mice, MCMCglmm, mgcv, nlme, ordinal, parameters, patchwork,
pscl, quantreg, rmarkdown, rms, robustbase, rstanarm,
rstantools, sandwich, see, sjlabelled (>= 1.1.2), sjstats,
sjmisc (>= 2.8.2), survey, survival, testthat, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ggfittext","ggfittext","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.10.0",NA,"R (>= 3.6)","grid (>= 3.1), stringi (>= 1.1.2), shades (>= 1.3.1), gridtext
(>= 0.1.4), ggplot2 (>= 2.2.1)",NA,"knitr, rmarkdown, testthat (>= 3.0.0), vdiffr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"ggfun","ggfun","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.0.9",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"ggimage","ggimage","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.3.2",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools, utils, withr",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"ggmosaic","ggmosaic","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.3.3",NA,"ggplot2 (>= 3.3.0), R (>= 3.5.0)","productplots, dplyr, plotly (>= 4.5.5), purrr, rlang, tidyr,
ggrepel, scales",NA,"gridExtra, knitr, NHANES, rmarkdown, patchwork",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"ggplot2","ggplot2","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","3.4.2",NA,"R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, ragg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>=
0.7-3), svglite (>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr
(>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"ggplotify","ggplotify","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"ggpubr","ggpubr","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"ggrepel","ggrepel","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.9.3",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra,
devtools, prettydoc, ggbeeswarm, dplyr, magrittr, readr,
stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"ggsci","ggsci","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","3.0.0",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, reshape2, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.0"
"ggsignif","ggsignif","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"ggstatsplot","ggstatsplot","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.11.1",NA,"R (>= 4.1.0)","correlation (>= 0.8.4), datawizard (>= 0.7.1), dplyr (>=
1.1.1), ggplot2 (>= 3.4.2), ggrepel (>= 0.9.3), ggsignif, glue,
insight (>= 0.19.1), paletteer, parameters (>= 0.20.3),
patchwork, performance (>= 0.10.2), purrr (>= 1.0.1), rlang,
stats, statsExpressions (>= 1.5.0), tidyr, utils",NA,"afex, BayesFactor (>= 0.9.12-4.4), gapminder, ggcorrplot (>=
0.1.4), ggside (>= 0.2.2), knitr, lme4, MASS, metaBMA, metafor,
metaplus, PMCMRplus, psych, rmarkdown, survival, testthat (>=
3.1.7), tibble, vdiffr (>= 1.0.5), WRS2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"ggthemes","ggthemes","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"gh","gh","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.4.0",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gitcreds","gitcreds","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"globals","globals","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.16.2",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.0"
"glue","glue","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"gmodels","gmodels","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","2.18.1.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"gmp","gmp","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","0.7-1",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"googledrive","googledrive","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","2.1.0",NA,"R (>= 3.5)","cli (>= 3.0.0), gargle (>= 1.3.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 1.0.1), rlang
(>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"googlesheets4","googlesheets4","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","1.1.0",NA,"R (>= 3.5)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.3.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gplots","gplots","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"graphics","graphics","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","4.3.0","base",NA,"grDevices",NA,NA,NA,"Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
"grDevices","grDevices","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","4.3.0","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
"grid","grid","/Library/Frameworks/R.framework/Versions/4.3-x86_64/Resources/library","4.3.0","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.3.0",NA,NA,NA,NA,"yes","4.3.0"
